n	time	type
25	51	New
50	679	New
75	3988	New
100	14004	New
125	18037	New
150	25360	New
175	38965	New
200	54329	New
225	81346	New
250	103667	New
275	106722	New
300	136463	New
325	185901	New
350	245627	New
375	286024	New
400	289085	New
425	352993	New
450	408482	New
475	406014	New
500	539577	New
525	612219	New
550	516242	New
575	649794	New
600	915526	New
625	948706	New
650	774925	New
675	1058244	New
700	1074813	New
725	1130049	New
750	1490892	New
775	1797071	New
800	1661407	New
825	1551934	New
850	2163134	New
875	2656842	New
900	3376533	New
925	2477549	New
950	3018421	New
975	3895750	New
1000	3787280	New
1025	3087511	New
1050	3446129	New
1075	3165060	New
1100	3185092	New
1125	5570180	New
1150	5524849	New
1175	4941510	New
1200	6204532	New
1225	6411047	New
1250	6494051	New
1275	9178421	New
1300	6525911	New
1325	8880058	New
1350	8773789	New
1375	8086384	New
1400	8120498	New
1425	11272068	New
1450	8248605	New
1475	10037073	New
1500	13811764	New
1525	13036627	New
1550	9710391	New
1575	13055456	New
1600	11431091	New
1625	16648502	New
1650	13712467	New
1675	12604737	New
1700	17211288	New
1725	20014255	New
1750	15490145	New
1775	24137872	New
1800	18661827	New
1825	22635839	New
1850	25555234	New
1875	27441468	New
1900	27649575	New
1925	21936628	New
1950	26032471	New
1975	30427722	New
2000	35597921	New
2025	22432118	New
2050	32153192	New
2075	25830710	New
2100	26956594	New
2125	26985626	New
2150	30627429	New
2175	36253541	New
2200	37063149	New
2225	28753063	New
2250	38933439	New
2275	37205651	New
2300	62364916	New
2325	40915923	New
2350	43284532	New
2375	26670682	New
2400	37786034	New
2425	51832116	New
2450	36447414	New
2475	36005248	New
2500	54421420	New
2525	37285465	New
2550	58871110	New
2575	46197582	New
2600	50874259	New
2625	46415236	New
2650	62875383	New
2675	59816829	New
2700	67912402	New
2725	48721147	New
2750	65608813	New
2775	67346468	New
2800	47113037	New
2825	69446113	New
2850	76502893	New
2875	69606595	New
2900	63884657	New
2925	51871993	New
2950	75043796	New
2975	71103133	New
3000	69485336	New
3025	74569874	New
3050	84077120	New
3075	114958650	New
3100	78558756	New
3125	84445605	New
3150	89950220	New
3175	106607950	New
3200	93807955	New
3225	69014960	New
3250	66833288	New
3275	85021037	New
3300	126879313	New
3325	88086521	New
3350	109992233	New
3375	154473962	New
3400	103189205	New
3425	109588373	New
3450	109597392	New
3475	118637624	New
3500	117597984	New
3525	136799744	New
3550	75048898	New
3575	141226905	New
3600	178783468	New
3625	132168608	New
3650	174337896	New
3675	159589215	New
3700	158092838	New
3725	148641612	New
3750	105272027	New
3775	135322072	New
3800	121623890	New
3825	162854897	New
3850	171454217	New
3875	139166600	New
3900	188880253	New
3925	127449791	New
3950	141920119	New
3975	197724936	New
4000	172675259	New
