n	time	type
25	45	Old
50	583	Old
75	3750	Old
100	9983	Old
125	15853	Old
150	22771	Old
175	38723	Old
200	50232	Old
225	63825	Old
250	93642	Old
275	93513	Old
300	126178	Old
325	184537	Old
350	279072	Old
375	217132	Old
400	301142	Old
425	345291	Old
450	389596	Old
475	392039	Old
500	513566	Old
525	521102	Old
550	529579	Old
575	669048	Old
600	758412	Old
625	1147128	Old
650	1001499	Old
675	1180447	Old
700	1097216	Old
725	1221308	Old
750	1569917	Old
775	1835180	Old
800	2135201	Old
825	2287895	Old
850	2256386	Old
875	2614770	Old
900	2743384	Old
925	3145891	Old
950	3730452	Old
975	3960723	Old
1000	4396380	Old
1025	5429281	Old
1050	4906525	Old
1075	5920330	Old
1100	6054297	Old
1125	6369551	Old
1150	7266932	Old
1175	7387575	Old
1200	8357512	Old
1225	8816745	Old
1250	9561222	Old
1275	10453778	Old
1300	11085299	Old
1325	11970649	Old
1350	12517753	Old
1375	14294194	Old
1400	15337846	Old
1425	16175285	Old
1450	16569436	Old
1475	17844724	Old
1500	18680559	Old
1525	20499702	Old
1550	21445750	Old
1575	22854117	Old
1600	25660616	Old
1625	25747858	Old
1650	27100311	Old
1675	28997505	Old
1700	30523030	Old
1725	33008752	Old
1750	34681941	Old
1775	36733076	Old
1800	37737217	Old
1825	41310363	Old
1850	41483421	Old
1875	44560643	Old
1900	46080490	Old
1925	48299309	Old
1950	50176301	Old
1975	53357390	Old
2000	53733808	Old
2025	58724457	Old
2050	63047678	Old
2075	64209269	Old
2100	66497000	Old
2125	70242025	Old
2150	73557114	Old
2175	76771683	Old
2200	78963908	Old
2225	83410556	Old
2250	86149077	Old
2275	88990310	Old
2300	93608499	Old
2325	96329905	Old
2350	99749725	Old
2375	104385332	Old
2400	108832710	Old
2425	113825728	Old
2450	115779815	Old
2475	122245636	Old
2500	126173027	Old
2525	131438651	Old
2550	136105069	Old
2575	139686968	Old
2600	141781220	Old
2625	156047699	Old
2650	154081418	Old
2675	160876687	Old
2700	163628717	Old
2725	171593312	Old
2750	176744855	Old
2775	182387097	Old
2800	190142691	Old
2825	193445491	Old
2850	200556097	Old
2875	205133371	Old
2900	212203954	Old
2925	219822196	Old
2950	226132417	Old
2975	234172638	Old
3000	241786471	Old
3025	248578873	Old
3050	255663470	Old
3075	260665236	Old
3100	270566990	Old
3125	279722121	Old
3150	284247324	Old
3175	288779025	Old
3200	300141010	Old
3225	308771121	Old
3250	315957550	Old
3275	327256402	Old
3300	336386002	Old
3325	346836620	Old
3350	353750198	Old
3375	362518937	Old
3400	370097852	Old
3425	386736295	Old
3450	395268470	Old
3475	407116048	Old
3500	393005004	Old
3525	407981768	Old
3550	418692836	Old
3575	427688068	Old
3600	434404356	Old
3625	452314128	Old
3650	457422598	Old
3675	468526607	Old
3700	480094986	Old
3725	491104654	Old
3750	505538420	Old
3775	514469443	Old
3800	524888512	Old
3825	538633436	Old
3850	552909370	Old
3875	570783141	Old
3900	578985885	Old
3925	585885152	Old
3950	601501537	Old
3975	618882429	Old
4000	629868758	Old
