"","index","variable","value"
"1",1,"rCl1",0.195744082026105
"2",2,"rCl1",0.193123002400609
"3",3,"rCl1",0.642466690863905
"4",4,"rCl1",0.84195823571737
"5",5,"rCl1",0.94976552082426
"6",6,"rCl1",0.950739507916791
"7",7,"rCl1",0.96105505016783
"8",8,"rCl1",0.965228846026049
"9",9,"rCl1",0.937883539181693
"10",10,"rCl1",0.00151001984221412
"11",11,"rCl1",0.175571292412503
"12",12,"rCl1",0.0532018822877108
"13",13,"rCl1",0.0199844833466157
"14",14,"rCl1",0.053543658964269
"15",15,"rCl1",0.737503869644304
"16",16,"rCl1",0.924784231166602
"17",17,"rCl1",0.877930546945618
"18",18,"rCl1",0.987210578917998
"19",19,"rCl1",0.925130550889618
"20",20,"rCl1",0.808989101723201
"21",21,"rCl1",0.0820293111762343
"22",22,"rCl1",0.0525615656593592
"23",23,"rCl1",0.0405208244171362
"24",24,"rCl1",0.212014006766017
"25",25,"rCl1",0.894192653403095
"26",26,"rCl1",0.982654344237812
"27",27,"rCl1",1
"28",28,"rCl1",1
"29",29,"rCl1",0.92144006659087
"30",30,"rCl1",0.844230762822502
"31",31,"rCl1",0.342729814000821
"32",32,"rCl1",0.650268089790365
"33",33,"rCl1",0.570965088823874
"34",34,"rCl1",0.983614951147284
"35",35,"rCl1",1
"36",36,"rCl1",0.827280636805241
"37",37,"rCl1",0.964362778213217
"38",38,"rCl1",0.910711681193912
"39",39,"rCl1",0.879592916539997
"40",40,"rCl1",0.590286443169099
"41",41,"rCl1",0.368088437127189
"42",42,"rCl1",0.322853232594319
"43",43,"rCl1",0.830842917364606
"44",44,"rCl1",0.629705279444612
"45",45,"rCl1",0.561480941109802
"46",46,"rCl1",0.736554045217633
"47",47,"rCl1",0.66242271816575
"48",48,"rCl1",0.171531855417473
"49",49,"rCl1",0.135613002083558
"50",50,"rCl1",0.078558595665515
"51",51,"rCl1",0.997942939942047
"52",52,"rCl1",0.985578934054442
"53",53,"rCl1",0.974332867426844
"54",54,"rCl1",0.95489929325728
"55",55,"rCl1",0.464442393693913
"56",56,"rCl1",0.136714050401441
"57",57,"rCl1",0.354164715256848
"58",58,"rCl1",0.0864316813170282
"59",59,"rCl1",0.271087045474417
"60",60,"rCl1",0.965859550132223
"61",61,"rCl1",0.945471264884682
"62",62,"rCl1",0.947729703629582
"63",63,"rCl1",0.901182826971678
"64",64,"rCl1",0.560163846243524
"65",65,"rCl1",0.513020312168468
"66",66,"rCl1",0.313742686740322
"67",67,"rCl1",0.211722652690879
"68",68,"rCl1",0.0511065519282639
"69",69,"rCl1",0.97697377654805
"70",1,"rCl2",0.223211234394599
"71",2,"rCl2",0.434821142983925
"72",3,"rCl2",0.993221708754678
"73",4,"rCl2",0.897428266682779
"74",5,"rCl2",0.918115826649663
"75",6,"rCl2",0.926128309733756
"76",7,"rCl2",0.92707044488747
"77",8,"rCl2",0.930516224579845
"78",9,"rCl2",0.890862043494883
"79",10,"rCl2",0.215138547152016
"80",11,"rCl2",0.162210563034866
"81",12,"rCl2",0.0878213684727833
"82",13,"rCl2",0.147973566587167
"83",14,"rCl2",0.137592079413347
"84",15,"rCl2",0.677242804891879
"85",16,"rCl2",0.871311432762659
"86",17,"rCl2",0.928137819639172
"87",18,"rCl2",0.857075746723092
"88",19,"rCl2",0.797691394832975
"89",20,"rCl2",0.620495622434646
"90",21,"rCl2",0.0813049708895452
"91",22,"rCl2",0.0134096381570262
"92",23,"rCl2",0.0356235309467254
"93",24,"rCl2",0.100428339453117
"94",25,"rCl2",0.223810576021144
"95",26,"rCl2",0.278761430639503
"96",27,"rCl2",0.24893279908181
"97",28,"rCl2",0.606442763997566
"98",29,"rCl2",0.841271844112581
"99",30,"rCl2",0.931454043149959
"100",31,"rCl2",1
"101",32,"rCl2",0.962584438700923
"102",33,"rCl2",0.953885463232659
"103",34,"rCl2",0.719771466249207
"104",35,"rCl2",0.3687291562204
"105",36,"rCl2",0
"106",37,"rCl2",0.112870203959915
"107",38,"rCl2",0.404307207852371
